show_rank,show_name,show_author,show_ticket
63,大数据修仙,陈风笑,6706
64,法爷永远是你大爷,翔炎,6563
65,我的徒弟都是大反派,谋生任转蓬,6559
66,绑定天才就变强,李鸿天,6502
67,末日拼图游戏,更从心,6409
68,只想退休的我被迫成了大将,咸鱼军头,6387
69,全球神祇时代,一夕成道,6294
70,我家老婆来自一千年前,花还没开,6179
71,神秀之主,文抄公,6176
72,颠覆了这是皇帝聊天群,黑血粉,6136
73,梦回大明春,王梓钧,5842
74,御九天,骷髅精灵,5788
75,原来我是修仙大佬,木下雉水,5776
76,开局签到如来神掌,回到原初,5706
77,世界树的游戏,咯嘣,5565
78,小阁老,三戒大师,5546
79,每天都离现形更近一步,陈词懒调,5454
80,奶爸学园,剑沉黄海,5341
81,签到千年我怎么成人族隐藏,超喜欢吃辣椒,5339
82,这是我的星球,姬叉,5266
83,信息全知者,魔性沧月,5193
84,高龄巨星,蠢蠢凡愚QD,5182
85,旧日之箓,熊狼狗,5001
86,天道方程式,二目,4984
87,我快亏成麻瓜了,江公子阿宝,4983
88,中医许阳,唐甲甲,4955
89,最初进化,卷土,4918
90,朕又不想当皇帝,争斤论两花花帽,4871
91,钢铁火药和施法者,尹紫电,4865
92,我真没针对法爷,十年一键,4863
93,伏天氏,净无痕,4844
94,玄浑道章,误道者,4837
95,环球挖土党,痞徒,4742
96,什么叫游走型中单啊,这很科学啊,4673
97,冷宫签到八十年，我举世无,女孩那么可爱,4660
98,众神世界,永恒之火,4592
99,葬元,武猎,4520
100,洪荒历,zhttty,4485
1,大奉打更人,卖报小郎君,187582
2,这个人仙太过正经,言归正传,156204
3,从红月开始,黑山老鬼,64941
4,全职艺术家,我最白,53185
5,稳住别浪,跳舞,49786
6,神话版三国,坟土荒草,46815
7,剑卒过河,惰堕,45102
8,大梦主,忘语,44387
9,精灵掌门人,轻泉流响,44197
10,体修之祖,石木,43974
11,魔临,纯洁滴小龙,43288
12,轮回乐园,那一只蚊子,39277
13,赘婿,愤怒的香蕉,37352
14,长夜余火,爱潜水的乌贼,34479
15,赤心巡天,情何以甚,34362
16,十方武圣,滚开,30975
17,黎明之剑,远瞳,30927
18,万族之劫,老鹰吃小鸡,28896
19,没钱上大学的我只能去屠龙,宇宙无敌水哥,28324
20,亏成首富从游戏开始,青衫取醉,27761
21,左道倾天,风凌天下,26635
22,绍宋,榴弹怕水,25974
23,我加载了恋爱游戏,掠过的乌鸦,25277
24,颤栗高空,奥比椰,23015
25,我的治愈系游戏,我会修空调,22402
26,禁区之狐,林海听涛,19506
27,九星之主,育,18899
28,临渊行,宅猪,18573
29,港综世界大枭雄,萌俊,18309
30,沧元图,我吃西红柿,18181
31,红楼春,屋外风吹凉,16865
32,我真没想当训练家啊,北川南海,16234
33,烂柯棋缘,真费事,15658
34,天启预报,风月,15439
35,重生过去震八方,锋临天下,14799
36,东晋北府一丘八,指云笑天道1,14760
37,每天都离现形更近一步,陈词懒调,14084
38,大唐扫把星,迪巴拉爵士,14073
39,我真的只是想打铁,静悄悄地写,13903
40,我在东京教剑道,范马加藤惠,13555
41,在港综成为传说,凤嘲凰,12801
42,我不可能是剑神,裴不了,12508
43,柯南之我不是蛇精病,烟火酒颂,12298
44,我在斩妖司除魔三十年,贰更,12044
45,圣墟,辰东,12016
46,我只想自力更生,中秋月明,11748
47,这个诅咒太棒了,行者有三,11699
48,怪物被杀就会死,阴天神隐,11471
49,平常人类的平凡生活,何处可桃,11419
50,警探长,奉义天涯,11379
51,只想退休的我被迫成了大将,咸鱼军头,11376
52,新书,七月新番,11326
53,我的1978小农庄,名窑,11244
54,法爷永远是你大爷,翔炎,11082
55,掌门低调点,幼儿园一把手,11004
56,这是我的星球,姬叉,10863
57,世界树的游戏,咯嘣,10755
58,最初进化,卷土,10215
59,斗罗大陆IV终极斗罗,唐家三少,10038
60,诡秘之主,爱潜水的乌贼,9760
61,奶爸学园,剑沉黄海,9640
62,全球神祇时代,一夕成道,9390
63,玩家凶猛,黑灯夏火,9156
64,小阁老,三戒大师,9075
65,神秀之主,文抄公,8856
66,颠覆了这是皇帝聊天群,黑血粉,8807
67,我在决斗都市玩卡牌,名称被占用,8734
68,数风流人物,瑞根,8546
69,我家老婆来自一千年前,花还没开,8502
70,高龄巨星,蠢蠢凡愚QD,8490
71,聊斋路长生志,天下白兔,8272
72,户外直播间,昙花落,7996
73,梦回大明春,王梓钧,7988
74,大周仙吏,荣小荣,7835
75,末日拼图游戏,更从心,7778
76,万古神帝,飞天鱼,7499
77,我真没针对法爷,十年一键,7393
78,玄浑道章,误道者,7360
79,白骨大圣,咬火,7124
80,我快亏成麻瓜了,江公子阿宝,7032
81,凶猛道侣也重生了,吃苹果的鸭子,6963
82,洪荒关系户,清风小道童,6895
83,旧日之箓,熊狼狗,6845
84,我只会拍烂片啊,巫马行,6826
85,全球迈入神话时代,最终永恒,6758
86,天道方程式,二目,6672
87,信息全知者,魔性沧月,6659
88,御九天,骷髅精灵,6650
89,重生之我真没想当男神,周一口鸟,6608
90,开局签到如来神掌,回到原初,6608
91,我的徒弟都是大反派,谋生任转蓬,6576
92,妖女哪里逃,开荒,6455
93,明尊,辰一十一,6447
94,我的云养女友,常世,6433
95,我对恶魔果实没有兴趣,翼赤火,6399
96,冷宫签到八十年，我举世无,女孩那么可爱,6398
97,我的细胞监狱,穿黄衣的阿肥,6235
98,半仙,跃千愁,6206
99,高人竟在我身边,晨星LL,6203
100,什么叫游走型中单啊,这很科学啊,6197
